Filename;; ;AART;ART;Deflate;GGZnoRLE;GGZRLE;HUF;LZ78;LZ77;LZW;PPM5;PPM2;PPM3;PPM4;;PAQ8L -5;Min;Ratio;;;Calgary;Calgary original;Media Calgary
24bit2;.bmp;190566;120520;122383;13325;7276;8388;121163;57368;14248;41654;12642;57896;27319;13683;;2972;7276;0,305447981;;;911782;3141622;2,728627586
alice29;.txt;152089;87131;88888;65346;50512;60185;87778;87021;83953;70148;49527;66351;52691;47160;;35040;47160;2,480652776;;;Canterbury;Canterbury original;Media Canterbury
andrew-lang-theredfairybook;.txt;666997;372378;374077;282434;218202;261947;375150;324560;365690;259210;185434;278935;222825;189743;;138336;185434;2,224105955;;;555220;2810784;2,375504422
asyoulik;.txt;125179;75520;77285;57911;44944;53376;75889;76517;75619;62748;45604;54739;44732;42388;;33042;42388;2,70895278;;;Large Corpus;Large original;Large media
bee;.bmp;119574;28940;30701;8917;7437;6520;29990;15614;9968;11592;5976;9518;6270;5872;;3602;5872;0,392861324;;;2603655;11159482;1,863000548
Bertrand+Russell+-+Mysticism+and+Logic+and+Other+Essays;.txt;424691;236374;238095;175688;136711;162157;237469;214847;227106;169928;120717;183236;147894;123629;;87843;120717;2,273973312;;;;;
bib;;111261;72601;74380;41040;32062;36507;72858;64121;50523;53722;34595;48355;38005;33020;;20844;32062;2,305354077;;;;;
bible;.txt;4047392;2197537;2199154;1437108;1132300;1310992;2218530;1651512;1827741;1425636;895974;1655799;1265058;1006878;;636229;895974;1,7709656;;;;;
book1;;768771;435398;437094;366527;290060;353407;438475;400464;484137;325034;243407;346626;281422;245237;;192770;243407;2,532946742;;;;;
book2;;610856;366284;368002;248923;198963;235943;368412;309437;317138;255494;178527;288923;223858;183498;;121839;178527;2,33805676;;;;;
cameraman;.tif;262750;231897;233760;187513;139716;183306;233089;202361;210611;188904;166973;138491;139115;150544;;104889;138491;4,216662226;;;;;
cp;.html;24603;16293;18132;9173;8592;10039;16299;16799;11868;14948;10106;11711;8997;9026;;5887;8592;2,793805633;;;;;
E;.coli;4638690;1160066;1161620;1422441;1156864;1871617;1159682;1625936;2142971;1221480;1129503;1148972;1138604;1131942;;1102031;1129503;1,947968931;;;;;
fields;.c;11150;7158;9030;3971;3281;4015;7130;8099;5020;7084;4188;4813;3732;3772;;2233;3281;2,354080717;;;;;
Frame;.cpp;116884;78539;80322;12670;11267;12498;78805;43286;14567;33956;16953;41512;20955;16730;;5574;11267;0,771157729;;;;;
Francis+Scott+Fitzgerald+-+The+Great+Gatsby;.txt;278717;159952;161686;130794;101864;122870;161043;157221;171562;125404;93048;123237;101452;90675;;70736;90675;2,602639954;;;;;
Friedrich+Wilhelm+Nietzsche+-+Beyond+Good+and+Evil;.txt;387466;223247;224971;183229;143236;172351;224116;212562;238616;170088;128794;172527;144921;127263;;96863;127263;2,627595712;;;;;
geo;;102400;72441;74324;71064;68662;76387;72825;78732;93379;85678;80494;61322;63314;69814;;43988;61322;4,79078125;;;;;
Gilbert+Keith+Chesterton+-+St.+Francis+of+Assisi;.txt;249399;137697;139433;111369;86479;103857;138434;137817;146378;109612;79786;107041;89033;78688;;59534;78688;2,524083898;;;;;
grammar;.lsp;3721;2298;4205;1589;1365;1663;2259;2957;2030;2818;1720;1665;1440;1529;;963;1365;2,934694974;;;;;
house;.tif;525106;255493;257318;165269;137937;127548;256543;184646;198777;158916;110249;190379;105229;112418;;79018;105229;1,603165837;;;;;
Ivan+Aleksandrovich+Goncharov+-+Oblomov;.txt;336939;190736;192462;157186;123238;149393;191875;185642;206711;147758;111030;147486;122433;108928;;84712;108928;2,586296036;;;;;
jetplane;.tif;525106;287034;288849;235452;212581;211863;288067;252902;290686;226882;171011;221762;151268;161600;;134347;151268;2,304570887;;;;;
kennedy;.xls;1029744;460210;462021;264394;238283;110444;462800;274343;332348;351606;229781;360262;221223;215781;;11765;110444;0,858030734;;;;;
lake;.tif;525106;312144;313976;275423;249328;251682;313221;290546;346067;272538;213715;247152;184480;199269;;167241;184480;2,810556345;;;;;
lcet10;.txt;426754;249398;251121;175230;138002;162777;250664;216063;224184;171610;120414;188724;148805;122860;;83912;120414;2,257300459;;;;;
lena_color_256;.tif;197020;190726;192609;189724;154359;196107;191543;213806;214342;222536;226851;172842;180671;202687;;110199;154359;6,267749467;;;;;
lena_color_512;.tif;787460;763538;765390;756088;612163;780183;766607;801842;854930;939366;793336;686117;683767;763654;;435019;612163;6,219114622;;;;;
lena_gray_256;.tif;65798;61501;63387;61119;50128;67313;61760;72434;70635;72684;69598;50051;54285;61568;;42522;50051;6,08541293;;;;;
lena_gray_512;.tif;262598;244849;246699;238726;178737;244698;245628;245189;272460;235414;232024;170758;180121;201999;;143436;170758;5,202111212;;;;;
Lewis+Carroll+-+Alices+Adventures+in+Wonderland;.txt;150261;86596;88356;65358;50401;60182;87046;87320;84276;70156;49516;65466;52523;47259;;35473;47259;2,516101983;;;;;
livingroom;.tif;262750;239963;241828;236289;189855;258526;241053;250973;274266;251324;247500;183154;193996;216983;;161301;183154;5,576525214;;;;;
Louisa+May+Alcott+-+Little+Women;.txt;1022125;578769;580451;479486;370914;447390;583343;513099;631634;411412;298061;443279;358817;306294;;238205;298061;2,332873181;;;;;
Lyman+Frank+Baum+-+Dorothy+and+the+Wizard+in+Oz;.txt;233252;133006;134747;105262;80329;96088;133846;130323;136830;103628;74915;100897;82663;72911;;55682;72911;2,500677379;;;;;
main;.cpp;3205;2189;4103;1450;1252;1551;2151;2777;1783;2646;1606;1483;1320;1423;;936;1252;3,125117005;;;;;
main2;.cpp;3205;2189;4103;1854;1582;1834;2151;2564;2425;2568;1904;1332;1455;1655;;1138;1332;3,324804992;;;;;
mandril_color;.tif;787420;700179;702014;673792;516023;625599;703175;715292;804168;715744;592896;602731;473258;515332;;370150;473258;4,808188768;;;;;
mandril_gray;.tif;262750;240043;241891;239142;193840;259283;240962;258410;283084;255002;262153;198158;204440;230557;;168193;193840;5,90188392;;;;;
news;;377109;244940;246683;167850;143603;174632;246506;220164;215371;186708;139565;196239;156499;135916;;89859;135916;2,883325511;;;;;
niccolo-machiaveli;.txt;390937;216518;218236;162441;124886;146564;217903;196034;210461;152152;108334;164252;131437;109675;;80569;108334;2,21690963;;;;;
obj1;;21504;16120;18039;12103;11553;13414;16322;18059;14032;18136;14641;12600;12161;13147;;7480;11553;4,297991071;;;;;
obj2;;246814;193336;195195;96905;86999;100732;194367;152459;112083;136560;101767;127593;101173;98015;;44914;86999;2,819904868;;;;;
paper1;;53161;33352;35163;22533;18106;21843;33447;36245;28719;30740;20625;25625;20314;19007;;13087;18106;2,7247042;;;;;
paper2;;82199;47542;49330;35607;28046;33299;47723;51755;46061;42664;29613;37466;30441;27761;;20478;27761;2,701833356;;;;;
paper3;;46526;27372;29182;21517;17286;21027;27373;32459;28264;27410;19345;21756;18667;17670;;13033;17286;2,972273567;;;;;
paper4;;13286;7998;9855;6460;5505;6835;7954;10691;8911;9582;6641;6489;5736;5841;;4191;5505;3,314767424;;;;;
paper5;;11954;7559;9426;5922;5066;6294;7536;9974;8014;9118;6272;6069;5342;5532;;3898;5066;3,390329597;;;;;
paper6;;38105;24087;25911;16183;13247;16218;24132;27191;20761;23446;15636;18470;14911;14206;;9502;13247;2,781157328;;;;;
peppers_color;.tif;526654;316819;318664;208408;160882;160726;317897;240557;242113;212076;128946;252706;124245;131934;;97068;124245;1,887311214;;;;;
peppers_gray;.tif;525106;288680;290461;188656;153889;152953;289544;221510;224123;189182;118320;223114;119443;124933;;92931;118320;1,802607474;;;;;
pic;;513216;77962;79686;58035;70969;63735;106728;79682;74575;70116;61773;55119;54120;56609;;22533;54120;0,843621399;;;;;
pirate;.tif;262750;238234;240075;233938;187459;253767;239174;245012;272289;236580;238039;174604;184900;208193;;161072;174604;5,316201713;;;;;
Plato-The-Complete-Plato;.txt;3711999;2107009;2108644;1531465;1190890;1402952;2122059;1638611;1981475;1390418;891588;1552663;1216360;976707;;689887;891588;1,92152638;;;;;
plrabn12;.txt;481861;273276;274987;227522;180939;216493;275685;254762;299772;204864;153648;204308;170975;151653;;121942;151653;2,517788325;;;;;
progc;;39611;25967;27793;16346;13560;16505;26021;28121;20785;23958;16217;19230;15236;14713;;9511;13560;2,738633208;;;;;
progl;;71646;42976;44770;19864;17335;20868;43084;40616;25118;33050;20765;29995;22471;19755;;10621;17335;1,935627949;;;;;
progp;;49379;30290;32102;14073;11759;14111;30318;29180;17486;24034;14793;20955;14964;13639;;7128;11759;1,905101359;;;;;
ptt5;;513216;77962;79686;58035;70969;63735;106728;79682;74575;70116;61773;55119;54120;56609;;22534;54120;0,843621399;;;;;
ScreenPrinter;.cpp;40498;26426;28248;7792;6777;7618;26513;20162;9308;16818;9331;15243;9499;8681;;3747;6777;1,338732777;;;;;
Sir-William-Stephen-Richard-King-Hall-The-Diary-Of-a-U-boat;.txt;268855;151555;153291;126871;99084;119968;152607;152736;166924;122230;91304;117724;99390;88876;;69319;88876;2,644577932;;;;;
sum;;38240;25632;27523;15622;13976;16601;25914;26198;18341;25054;17992;18354;15888;16291;;7521;13976;2,923849372;;;;;
trans;;93695;65054;66850;23108;19355;24139;65333;54344;28028;44882;25207;41160;29218;24639;;11639;19355;1,65259619;;;;;
walkbridge;.tif;525106;318233;320078;291572;268206;272256;319232;307031;372754;301644;244088;254131;207288;226141;;188157;207288;3,158036663;;;;;
woman_blonde;.tif;262750;228749;230584;224543;184729;250832;229846;239804;270255;230162;233927;172687;182595;204089;;150650;172687;5,257834443;;;;;
woman_darkhair;.tif;262750;239519;241377;221932;146317;202210;240438;215699;245873;197044;181016;134440;140776;156989;;120987;134440;4,093320647;;;;;
world192;.txt;2473400;1545742;1547405;853900;717926;846890;1558708;1030961;1061469;933702;578178;1135634;880446;674235;;311528;578178;1,870067114;;;;;
xargs;.1;4227;2737;4638;2122;1827;2267;2689;3776;2835;3584;2324;2131;1903;2034;;1414;1827;3,457771469;;;;;
;;;;;;;;;;;;;;;;;;;;;41 PPM;;;
;;;;;;;;;;;;;;;;;;;;;25 outros;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;2,321812109;;;;;;;
